N,Biais,Longeur Sépale ,Longeur Pétale,Type de Fleurs,Sortie C
1,1,4.3,1.1,Iris-setosa,0
2,1,5.8,1.2,Iris-setosa,0
22,1,5,3.5,Iris-versicolor,1
3,1,4.7,1.3,Iris-setosa,0
34,1,6.4,4.5,Iris-versicolor,1
4,1,5.4,1.3,Iris-setosa,0
35,1,6.5,4.6,Iris-versicolor,1
5,1,4.4,1.4,Iris-setosa,0
36,1,6.6,4.6,Iris-versicolor,1
6,1,4.6,1.4,Iris-setosa,0
31,1,5.6,4.5,Iris-versicolor,1
7,1,4.8,1.4,Iris-setosa,0
32,1,5.7,4.5,Iris-versicolor,1
8,1,4.9,1.4,Iris-setosa,0
23,1,5.6,3.6,Iris-versicolor,1
9,1,5,1.4,Iris-setosa,0
15,1,5.1,1.5,Iris-setosa,0
33,1,6.2,4.5,Iris-versicolor,1
37,1,6.1,4.7,Iris-versicolor,1
16,1,5.4,1.5,Iris-setosa,0
20,1,5.7,1.7,Iris-setosa,0
21,1,4.9,3.3,Iris-versicolor,1
24,1,5.2,3.9,Iris-versicolor,1
12,1,4.6,1.5,Iris-setosa,0
26,1,5.5,4,Iris-versicolor,1
14,1,5,1.5,Iris-setosa,0
25,1,5.6,3.9,Iris-versicolor,1
27,1,6,4,Iris-versicolor,1
10,1,5.1,1.4,Iris-setosa,0
28,1,5.8,4.1,Iris-versicolor,1
11,1,5.1,1.4,Iris-setosa,0
30,1,6.7,4.4,Iris-versicolor,1
17,1,5.7,1.5,Iris-setosa,0
29,1,5.9,4.2,Iris-versicolor,1
19,1,5.4,1.7,Iris-setosa,0
38,1,6.3,4.7,Iris-versicolor,1
39,1,7,4.7,Iris-versicolor,1
18,1,4.8,1.6,Iris-setosa,0
40,1,6.9,4.9,Iris-versicolor,1
13,1,4.9,1.5,Iris-setosa,0
